iter	Passed	Remaining
0	243	242985
1	313	156309
2	396	131661
3	466	116155
4	531	105825
5	598	99119
6	729	103503
7	840	104210
8	1050	115616
9	1279	126635
10	1395	125430
11	1515	124784
12	1686	128015
13	1779	125304
14	1867	122640
15	1941	119413
16	2012	116372
17	2080	113526
18	2150	111057
19	2217	108654
20	2280	106292
21	2356	104747
22	2422	102891
23	2504	101848
24	2582	100721
25	2649	99270
26	2723	98144
27	2786	96726
28	2852	95504
29	2923	94514
30	2986	93346
31	3048	92204
32	3109	91110
33	3174	90179
34	3238	89285
35	3312	88713
36	3385	88114
37	3448	87291
38	3508	86448
39	3598	86363
40	3675	85980
41	3742	85353
42	3801	84602
43	3876	84234
44	3975	84378
45	4053	84067
46	4144	84030
47	4223	83768
48	4305	83570
49	4393	83479
50	4467	83136
51	4569	83312
52	4646	83015
53	4725	82780
54	4805	82558
55	4884	82335
56	4974	82297
57	5058	82154
58	5131	81845
59	5193	81363
60	5257	80925
61	5345	80874
62	5431	80788
63	5494	80355
64	5576	80208
65	5643	79858
66	5707	79475
67	5789	79355
68	5859	79066
69	5946	79007
70	6019	78765
71	6102	78656
72	6188	78583
73	6259	78325
74	6331	78083
75	6404	77863
76	6469	77547
77	6546	77380
78	6607	77028
79	6671	76723
80	6734	76412
81	6806	76194
82	7005	77394
83	7101	77437
84	7236	77900
85	7380	78440
86	7465	78345
87	7556	78316
88	7635	78160
89	7700	77862
90	7762	77535
91	7855	77532
92	7922	77266
93	7981	76928
94	8076	76942
95	8143	76684
96	8221	76533
97	8286	76269
98	8353	76023
99	8414	75731
100	8486	75534
101	8556	75328
102	8632	75178
103	8699	74949
104	8760	74673
105	8827	74450
106	8902	74297
107	8971	74094
108	9035	73855
109	9105	73670
110	9168	73431
111	9238	73251
112	9307	73060
113	9382	72920
114	9452	72740
115	9528	72610
116	9591	72384
117	9672	72295
118	9753	72205
119	9831	72094
120	9910	71996
121	9974	71783
122	10060	71733
123	10148	71693
124	10226	71588
125	10301	71453
126	10371	71293
127	10450	71193
128	10548	71224
129	10621	71085
130	10696	70957
131	10766	70796
132	10833	70618
133	10909	70506
134	10986	70392
135	11063	70285
136	11140	70174
137	11208	70014
138	11300	69997
139	11395	70003
140	11571	70498
141	11687	70619
142	11969	71733
143	12053	71652
144	12153	71661
145	12260	71713
146	12352	71676
147	12459	71725
148	12694	72502
149	12866	72907
150	13061	73437
151	13249	73920
152	13355	73936
153	13444	73858
154	13520	73706
155	13588	73515
156	13668	73393
157	13747	73262
158	13824	73121
159	13904	72998
160	13976	72835
161	14047	72663
162	14120	72509
163	14195	72363
164	14259	72163
165	14323	71961
166	14396	71808
167	14459	71608
168	14534	71468
169	14600	71285
170	14668	71112
171	14738	70950
172	14814	70820
173	14881	70643
174	14956	70508
175	15021	70327
176	15087	70150
177	15158	70002
178	15233	69868
179	15301	69705
180	15370	69548
181	15446	69425
182	15513	69260
183	15585	69119
184	15652	68953
185	15721	68802
186	15780	68608
187	15849	68455
188	15943	68411
189	16044	68400
190	16127	68308
191	16217	68248
192	16303	68171
193	16388	68088
194	16497	68104
195	16577	68002
196	16661	67914
197	16739	67802
198	16825	67726
199	16913	67652
200	17007	67608
201	17110	67594
202	17197	67518
203	17300	67507
204	17428	67587
205	17532	67577
206	17641	67581
207	17731	67517
208	17822	67451
209	17917	67403
210	17995	67290
211	18067	67157
212	18148	67054
213	18267	67094
214	18442	67335
215	18691	67842
216	18826	67932
217	19005	68174
218	19114	68166
219	19244	68229
220	19327	68127
221	19413	68035
222	19497	67933
223	19579	67829
224	19685	67805
225	19758	67667
226	19830	67527
227	19903	67393
228	20194	67990
229	20266	67849
230	20345	67728
231	20474	67779
232	20547	67639
233	20613	67479
234	20689	67349
235	20752	67180
236	20850	67126
237	20926	66998
238	20996	66853
239	21101	66822
240	21182	66712
241	21273	66632
242	21351	66514
243	21438	66423
244	21531	66351
245	21617	66258
246	21706	66173
247	21789	66070
248	21882	65998
249	21969	65908
250	22041	65771
251	22106	65618
252	22177	65481
253	22249	65345
254	22319	65208
255	22494	65374
256	22785	65873
257	22988	66113
258	23092	66066
259	23215	66073
260	23325	66044
261	23460	66082
262	23555	66009
263	23632	65885
264	23708	65757
265	23789	65644
266	23859	65502
267	23926	65352
268	23996	65210
269	24066	65069
270	24138	64933
271	24222	64831
272	24390	64953
273	24505	64931
274	24651	64990
275	24806	65071
276	24898	64987
277	24977	64870
278	25057	64754
279	25132	64625
280	25201	64483
281	25270	64340
282	25337	64193
283	25413	64070
284	25487	63943
285	25557	63803
286	25624	63658
287	25702	63542
288	25778	63420
289	25864	63323
290	25955	63238
291	26022	63094
292	26109	63000
293	26177	62861
294	26258	62753
295	26329	62621
296	26402	62494
297	26474	62366
298	26545	62234
299	26615	62103
300	26690	61981
301	26762	61854
302	26830	61718
303	26904	61597
304	26984	61488
305	27064	61381
306	27135	61253
307	27202	61118
308	27271	60985
309	27340	60855
310	27413	60732
311	27489	60616
312	27553	60476
313	27626	60355
314	27693	60222
315	27767	60104
316	27836	59975
317	27913	59864
318	27986	59745
319	28065	59639
320	28132	59508
321	28204	59386
322	28272	59259
323	28339	59127
324	28406	58997
325	28482	58887
326	28554	58767
327	28620	58636
328	28691	58516
329	28758	58389
330	28836	58282
331	28906	58160
332	28978	58043
333	29052	57930
334	29129	57823
335	29192	57689
336	29260	57565
337	29335	57455
338	29402	57330
339	29473	57213
340	29550	57107
341	29622	56992
342	29698	56886
343	29780	56790
344	29848	56668
345	29925	56563
346	30114	56670
347	30226	56630
348	30387	56683
349	30552	56741
350	30636	56647
351	30717	56547
352	30798	56449
353	30872	56337
354	30947	56228
355	31025	56125
356	31109	56032
357	31185	55925
358	31265	55824
359	31340	55716
360	31422	55619
361	31488	55496
362	31572	55403
363	31641	55284
364	31713	55172
365	31779	55049
366	31860	54953
367	31932	54839
368	32000	54722
369	32084	54630
370	32167	54537
371	32238	54424
372	32305	54305
373	32383	54202
374	32461	54103
375	32541	54004
